Block Group,Census Tract,County,Estimated Population,Median Age,Median Household Income,Female:!!Service occupations:!!Food preparation and serving related occupations,"$100,000 to $124,999",State Code,County Code,Block Group Code
Block Group 1,Census Tract 2.01,Alachua County,843,24.1,25938,,,12,001,000201
Block Group 2,Census Tract 2.01,Alachua County,1611,21.5,31003,,,12,001,000201
Block Group 3,Census Tract 2.01,Alachua County,901,21.1,13117,,,12,001,000201
Block Group 4,Census Tract 2.01,Alachua County,1048,21.6,2499,,,12,001,000201
Block Group 1,Census Tract 2.02,Alachua County,1288,21.4,11941,,,12,001,000202
Block Group 2,Census Tract 2.02,Alachua County,1211,21.1,15835,,,12,001,000202
Block Group 3,Census Tract 2.02,Alachua County,2221,20.6,10559,,,12,001,000202
Block Group 1,Census Tract 3.01,Alachua County,1815,31.3,35697,,,12,001,000301
Block Group 2,Census Tract 3.01,Alachua County,2481,25.8,42651,,,12,001,000301
Block Group 1,Census Tract 3.02,Alachua County,465,29.2,-666666666,,,12,001,000302
Block Group 2,Census Tract 3.02,Alachua County,880,31.6,33281,,,12,001,000302
Block Group 3,Census Tract 3.02,Alachua County,1062,37.1,34932,,,12,001,000302
Block Group 1,Census Tract 4,Alachua County,1132,27.5,42672,,,12,001,000400
Block Group 2,Census Tract 4,Alachua County,632,47.5,54107,,,12,001,000400
Block Group 3,Census Tract 4,Alachua County,1338,42.9,42044,,,12,001,000400
Block Group 4,Census Tract 4,Alachua County,2727,27.6,48412,,,12,001,000400
Block Group 1,Census Tract 5,Alachua County,1200,29.9,38997,,,12,001,000500
Block Group 2,Census Tract 5,Alachua County,984,43.3,60114,,,12,001,000500
Block Group 3,Census Tract 5,Alachua County,795,50.6,72941,,,12,001,000500
Block Group 4,Census Tract 5,Alachua County,701,35.3,34500,,,12,001,000500
Block Group 5,Census Tract 5,Alachua County,1104,34.3,-666666666,,,12,001,000500
Block Group 1,Census Tract 6,Alachua County,1690,30.7,50301,,,12,001,000600
Block Group 2,Census Tract 6,Alachua County,1211,20.7,13533,,,12,001,000600
Block Group 3,Census Tract 6,Alachua County,3179,27.8,24527,,,12,001,000600
Block Group 1,Census Tract 7,Alachua County,59,-666666666.0,-666666666,,,12,001,000700
Block Group 2,Census Tract 7,Alachua County,1870,39.9,41625,,,12,001,000700
Block Group 3,Census Tract 7,Alachua County,2329,38.8,43362,,,12,001,000700
Block Group 4,Census Tract 7,Alachua County,2677,40.1,47679,,,12,001,000700
Block Group 1,Census Tract 8.06,Alachua County,1353,24.9,23846,,,12,001,000806
Block Group 2,Census Tract 8.06,Alachua County,2054,21.8,20213,,,12,001,000806
Block Group 1,Census Tract 8.08,Alachua County,931,27.1,50213,,,12,001,000808
Block Group 2,Census Tract 8.08,Alachua County,401,24.3,40750,,,12,001,000808
Block Group 3,Census Tract 8.08,Alachua County,2255,25.0,37750,,,12,001,000808
Block Group 1,Census Tract 8.09,Alachua County,1167,26.1,33369,,,12,001,000809
Block Group 1,Census Tract 9.01,Alachua County,2993,19.5,24851,,,12,001,000901
Block Group 1,Census Tract 9.02,Alachua County,6583,19.1,2499,,,12,001,000902
Block Group 1,Census Tract 10,Alachua County,1100,50.0,74655,,,12,001,001000
Block Group 2,Census Tract 10,Alachua County,1581,26.7,70625,,,12,001,001000
Block Group 3,Census Tract 10,Alachua County,1364,22.0,19609,,,12,001,001000
Block Group 4,Census Tract 10,Alachua County,1476,27.2,98595,,,12,001,001000
Block Group 5,Census Tract 10,Alachua County,723,21.3,2499,,,12,001,001000
Block Group 6,Census Tract 10,Alachua County,875,21.6,-666666666,,,12,001,001000
Block Group 1,Census Tract 11,Alachua County,1596,41.7,133697,,,12,001,001100
Block Group 2,Census Tract 11,Alachua County,1739,59.8,51354,,,12,001,001100
Block Group 3,Census Tract 11,Alachua County,1654,44.4,78269,,,12,001,001100
Block Group 4,Census Tract 11,Alachua County,1942,40.9,120233,,,12,001,001100
Block Group 1,Census Tract 12.01,Alachua County,3253,43.1,58958,,,12,001,001201
Block Group 1,Census Tract 12.02,Alachua County,1682,42.2,70903,,,12,001,001202
Block Group 2,Census Tract 12.02,Alachua County,3206,35.2,86807,,,12,001,001202
Block Group 3,Census Tract 12.02,Alachua County,600,31.0,39017,,,12,001,001202
Block Group 4,Census Tract 12.02,Alachua County,786,35.1,69559,,,12,001,001202
Block Group 5,Census Tract 12.02,Alachua County,2358,32.9,74737,,,12,001,001202
Block Group 1,Census Tract 12.03,Alachua County,4110,33.5,51163,,,12,001,001203
Block Group 1,Census Tract 14,Alachua County,1447,37.3,41935,,,12,001,001400
Block Group 2,Census Tract 14,Alachua County,3243,31.6,46406,,,12,001,001400
Block Group 1,Census Tract 15.14,Alachua County,1079,27.2,33185,,,12,001,001514
Block Group 2,Census Tract 15.14,Alachua County,726,26.4,-666666666,,,12,001,001514
Block Group 1,Census Tract 15.15,Alachua County,394,30.0,21165,,,12,001,001515
Block Group 2,Census Tract 15.15,Alachua County,2373,24.5,24904,,,12,001,001515
Block Group 3,Census Tract 15.15,Alachua County,1329,23.5,41278,,,12,001,001515
Block Group 4,Census Tract 15.15,Alachua County,777,21.3,16056,,,12,001,001515
Block Group 1,Census Tract 15.16,Alachua County,649,24.5,10691,,,12,001,001516
Block Group 2,Census Tract 15.16,Alachua County,991,23.0,16982,,,12,001,001516
Block Group 3,Census Tract 15.16,Alachua County,904,24.5,42176,,,12,001,001516
Block Group 1,Census Tract 15.17,Alachua County,1816,30.8,40703,,,12,001,001517
Block Group 2,Census Tract 15.17,Alachua County,742,21.7,19155,,,12,001,001517
Block Group 3,Census Tract 15.17,Alachua County,2566,22.9,34500,,,12,001,001517
Block Group 1,Census Tract 15.19,Alachua County,2144,24.2,30658,,,12,001,001519
Block Group 1,Census Tract 15.22,Alachua County,2739,23.5,22270,,,12,001,001522
Block Group 2,Census Tract 15.22,Alachua County,1704,23.9,34537,,,12,001,001522
Block Group 3,Census Tract 15.22,Alachua County,1027,22.4,21845,,,12,001,001522
Block Group 4,Census Tract 15.22,Alachua County,901,29.9,39063,,,12,001,001522
Block Group 1,Census Tract 16.05,Alachua County,1835,25.0,38583,,,12,001,001605
Block Group 2,Census Tract 16.05,Alachua County,812,56.1,137583,,,12,001,001605
Block Group 3,Census Tract 16.05,Alachua County,1356,26.4,-666666666,,,12,001,001605
Block Group 4,Census Tract 16.05,Alachua County,1064,24.0,44609,,,12,001,001605
Block Group 5,Census Tract 16.05,Alachua County,2482,23.9,18500,,,12,001,001605
Block Group 6,Census Tract 16.05,Alachua County,1924,25.9,53000,,,12,001,001605
Block Group 1,Census Tract 17.01,Alachua County,1876,43.3,82370,,,12,001,001701
Block Group 2,Census Tract 17.01,Alachua County,541,56.8,139813,,,12,001,001701
Block Group 3,Census Tract 17.01,Alachua County,494,50.4,40103,,,12,001,001701
Block Group 4,Census Tract 17.01,Alachua County,2710,49.0,59173,,,12,001,001701
Block Group 1,Census Tract 17.02,Alachua County,3028,57.4,50040,,,12,001,001702
Block Group 2,Census Tract 17.02,Alachua County,2055,51.3,90326,,,12,001,001702
Block Group 3,Census Tract 17.02,Alachua County,984,59.1,66136,,,12,001,001702
Block Group 1,Census Tract 18.02,Alachua County,1243,45.0,30823,,,12,001,001802
Block Group 2,Census Tract 18.02,Alachua County,1900,38.2,33340,,,12,001,001802
Block Group 1,Census Tract 18.03,Alachua County,1028,37.6,-666666666,,,12,001,001803
Block Group 2,Census Tract 18.03,Alachua County,476,71.4,37381,,,12,001,001803
Block Group 3,Census Tract 18.03,Alachua County,2300,28.2,42263,,,12,001,001803
Block Group 4,Census Tract 18.03,Alachua County,2855,54.3,81304,,,12,001,001803
Block Group 1,Census Tract 18.11,Alachua County,1254,33.8,65298,,,12,001,001811
Block Group 2,Census Tract 18.11,Alachua County,5541,44.4,73147,,,12,001,001811
Block Group 1,Census Tract 18.13,Alachua County,1918,51.8,108036,,,12,001,001813
Block Group 2,Census Tract 18.13,Alachua County,2542,35.7,79868,,,12,001,001813
Block Group 1,Census Tract 18.15,Alachua County,1868,39.9,63125,,,12,001,001815
Block Group 1,Census Tract 18.16,Alachua County,825,40.9,58683,,,12,001,001816
Block Group 2,Census Tract 18.16,Alachua County,1816,34.8,61848,,,12,001,001816
Block Group 3,Census Tract 18.16,Alachua County,1656,36.0,68537,,,12,001,001816
Block Group 4,Census Tract 18.16,Alachua County,1095,40.7,54643,,,12,001,001816
Block Group 1,Census Tract 18.17,Alachua County,3165,41.1,84940,,,12,001,001817
Block Group 2,Census Tract 18.17,Alachua County,1828,35.8,75684,,,12,001,001817
Block Group 1,Census Tract 18.18,Alachua County,1660,51.5,57222,,,12,001,001818
Block Group 2,Census Tract 18.18,Alachua County,3900,36.4,80504,,,12,001,001818
Block Group 1,Census Tract 18.19,Alachua County,2364,48.5,66796,,,12,001,001819
Block Group 2,Census Tract 18.19,Alachua County,1639,41.0,65791,,,12,001,001819
Block Group 1,Census Tract 19.02,Alachua County,1678,37.2,26336,,,12,001,001902
Block Group 2,Census Tract 19.02,Alachua County,2137,45.0,24861,,,12,001,001902
Block Group 1,Census Tract 19.07,Alachua County,827,55.8,60486,,,12,001,001907
Block Group 2,Census Tract 19.07,Alachua County,1018,35.1,48816,,,12,001,001907
Block Group 3,Census Tract 19.07,Alachua County,810,55.6,50741,,,12,001,001907
Block Group 1,Census Tract 19.08,Alachua County,1128,54.3,48571,,,12,001,001908
Block Group 2,Census Tract 19.08,Alachua County,910,48.2,61522,,,12,001,001908
Block Group 3,Census Tract 19.08,Alachua County,762,50.1,-666666666,,,12,001,001908
Block Group 4,Census Tract 19.08,Alachua County,521,64.1,24198,,,12,001,001908
Block Group 5,Census Tract 19.08,Alachua County,1978,32.7,41857,,,12,001,001908
Block Group 1,Census Tract 20.01,Alachua County,372,59.1,-666666666,,,12,001,002001
Block Group 2,Census Tract 20.01,Alachua County,1004,56.5,39362,,,12,001,002001
Block Group 1,Census Tract 20.02,Alachua County,1274,49.1,-666666666,,,12,001,002002
Block Group 2,Census Tract 20.02,Alachua County,1869,54.8,34948,,,12,001,002002
Block Group 3,Census Tract 20.02,Alachua County,1036,49.0,54777,,,12,001,002002
Block Group 1,Census Tract 21.01,Alachua County,2002,48.8,71055,,,12,001,002101
Block Group 1,Census Tract 21.02,Alachua County,862,54.0,34792,,,12,001,002102
Block Group 1,Census Tract 22.01,Alachua County,641,41.4,65563,,,12,001,002201
Block Group 2,Census Tract 22.01,Alachua County,1560,37.8,92063,,,12,001,002201
Block Group 3,Census Tract 22.01,Alachua County,4430,35.5,85968,,,12,001,002201
Block Group 1,Census Tract 22.02,Alachua County,2271,52.0,80089,,,12,001,002202
Block Group 2,Census Tract 22.02,Alachua County,2421,38.5,57122,,,12,001,002202
Block Group 3,Census Tract 22.02,Alachua County,1457,36.4,72305,,,12,001,002202
Block Group 1,Census Tract 22.04,Alachua County,1776,28.0,98257,,,12,001,002204
Block Group 2,Census Tract 22.04,Alachua County,6385,37.7,111419,,,12,001,002204
Block Group 3,Census Tract 22.04,Alachua County,1154,48.3,-666666666,,,12,001,002204
Block Group 4,Census Tract 22.04,Alachua County,894,31.0,-666666666,,,12,001,002204
Block Group 5,Census Tract 22.04,Alachua County,1542,47.3,61388,,,12,001,002204
Block Group 1,Census Tract 22.07,Alachua County,1201,45.4,120139,,,12,001,002207
Block Group 2,Census Tract 22.07,Alachua County,2813,35.4,104162,,,12,001,002207
Block Group 1,Census Tract 22.08,Alachua County,1446,33.2,95556,,,12,001,002208
Block Group 2,Census Tract 22.08,Alachua County,1597,41.6,133542,,,12,001,002208
Block Group 1,Census Tract 22.09,Alachua County,1604,32.2,38984,,,12,001,002209
Block Group 2,Census Tract 22.09,Alachua County,1377,34.8,153434,,,12,001,002209
Block Group 3,Census Tract 22.09,Alachua County,4041,37.9,131563,,,12,001,002209
Block Group 4,Census Tract 22.09,Alachua County,1593,51.2,72500,,,12,001,002209
Block Group 1,Census Tract 22.10,Alachua County,1899,39.4,59917,,,12,001,002210
Block Group 2,Census Tract 22.10,Alachua County,1268,39.0,79583,,,12,001,002210
Block Group 3,Census Tract 22.10,Alachua County,2297,31.0,51995,,,12,001,002210
Block Group 1,Census Tract 22.17,Alachua County,1417,31.5,43308,,,12,001,002217
Block Group 2,Census Tract 22.17,Alachua County,2814,26.2,38457,,,12,001,002217
Block Group 3,Census Tract 22.17,Alachua County,1104,29.3,-666666666,,,12,001,002217
Block Group 1,Census Tract 22.18,Alachua County,1762,28.3,37614,,,12,001,002218
Block Group 1,Census Tract 22.19,Alachua County,2598,35.0,53333,,,12,001,002219
Block Group 2,Census Tract 22.19,Alachua County,1795,43.3,85352,,,12,001,002219
Block Group 3,Census Tract 22.19,Alachua County,2032,36.8,29248,,,12,001,002219
Block Group 1,Census Tract 22.20,Alachua County,2371,37.7,73542,,,12,001,002220
Block Group 1,Census Tract 22.21,Alachua County,2436,43.1,79861,,,12,001,002221
Block Group 2,Census Tract 22.21,Alachua County,1152,31.1,-666666666,,,12,001,002221
Block Group 3,Census Tract 22.21,Alachua County,2854,25.3,79534,,,12,001,002221
Block Group 1,Census Tract 22.22,Alachua County,401,54.2,93693,,,12,001,002222
Block Group 2,Census Tract 22.22,Alachua County,3304,36.7,161875,,,12,001,002222
Block Group 3,Census Tract 22.22,Alachua County,3390,41.8,120913,,,12,001,002222
Block Group 1,Census Tract 1108,Alachua County,2065,54.9,84219,,,12,001,110800
Block Group 1,Census Tract 601.03,Brevard County,2379,55.1,57917,,,12,009,060103
Block Group 1,Census Tract 601.04,Brevard County,1460,58.0,46291,,,12,009,060104
Block Group 1,Census Tract 601.05,Brevard County,870,48.3,101172,,,12,009,060105
Block Group 2,Census Tract 601.05,Brevard County,1630,35.6,40885,,,12,009,060105
Block Group 3,Census Tract 601.05,Brevard County,522,54.4,37946,,,12,009,060105
Block Group 1,Census Tract 601.06,Brevard County,1580,50.0,72708,,,12,009,060106
Block Group 1,Census Tract 602.01,Brevard County,2544,58.3,70223,,,12,009,060201
Block Group 1,Census Tract 602.02,Brevard County,925,61.6,99737,,,12,009,060202
Block Group 2,Census Tract 602.02,Brevard County,2220,44.7,78082,,,12,009,060202
Block Group 1,Census Tract 603.01,Brevard County,534,38.3,55156,,,12,009,060301
Block Group 2,Census Tract 603.01,Brevard County,1772,46.6,48165,,,12,009,060301
Block Group 1,Census Tract 603.02,Brevard County,640,56.9,45221,,,12,009,060302
Block Group 2,Census Tract 603.02,Brevard County,1259,42.5,52865,,,12,009,060302
Block Group 3,Census Tract 603.02,Brevard County,758,76.5,46439,,,12,009,060302
Block Group 1,Census Tract 604,Brevard County,646,45.1,37500,,,12,009,060400
Block Group 2,Census Tract 604,Brevard County,926,45.5,51750,,,12,009,060400
Block Group 3,Census Tract 604,Brevard County,1398,40.1,56488,,,12,009,060400
Block Group 4,Census Tract 604,Brevard County,309,61.2,55147,,,12,009,060400
Block Group 5,Census Tract 604,Brevard County,1139,62.6,30188,,,12,009,060400
Block Group 1,Census Tract 605,Brevard County,1138,65.3,39946,,,12,009,060500
Block Group 2,Census Tract 605,Brevard County,1902,41.9,41285,,,12,009,060500
Block Group 3,Census Tract 605,Brevard County,2152,50.2,73843,,,12,009,060500
Block Group 1,Census Tract 606,Brevard County,1122,40.6,52717,,,12,009,060600
Block Group 2,Census Tract 606,Brevard County,2853,39.5,48902,,,12,009,060600
Block Group 3,Census Tract 606,Brevard County,1442,48.2,75735,,,12,009,060600
Block Group 1,Census Tract 607,Brevard County,732,42.1,18676,,,12,009,060700
Block Group 2,Census Tract 607,Brevard County,887,46.4,33658,,,12,009,060700
Block Group 3,Census Tract 607,Brevard County,1261,29.5,25136,,,12,009,060700
Block Group 1,Census Tract 610.01,Brevard County,2349,46.1,74926,,,12,009,061001
Block Group 2,Census Tract 610.01,Brevard County,1235,53.6,50406,,,12,009,061001
Block Group 3,Census Tract 610.01,Brevard County,2145,34.7,43631,,,12,009,061001
Block Group 1,Census Tract 610.02,Brevard County,1124,40.2,51531,,,12,009,061002
Block Group 2,Census Tract 610.02,Brevard County,1308,44.3,37321,,,12,009,061002
Block Group 3,Census Tract 610.02,Brevard County,865,55.0,63324,,,12,009,061002
Block Group 1,Census Tract 611,Brevard County,853,61.0,-666666666,,,12,009,061100
Block Group 2,Census Tract 611,Brevard County,1002,55.6,66250,,,12,009,061100
Block Group 3,Census Tract 611,Brevard County,1970,50.6,88438,,,12,009,061100
Block Group 4,Census Tract 611,Brevard County,2171,34.7,84110,,,12,009,061100
Block Group 1,Census Tract 612.01,Brevard County,1263,55.3,85026,,,12,009,061201
Block Group 2,Census Tract 612.01,Brevard County,1707,57.2,62656,,,12,009,061201
Block Group 3,Census Tract 612.01,Brevard County,3066,41.2,67726,,,12,009,061201
Block Group 4,Census Tract 612.01,Brevard County,1614,44.4,60515,,,12,009,061201
Block Group 1,Census Tract 612.02,Brevard County,1375,50.7,77670,,,12,009,061202
Block Group 2,Census Tract 612.02,Brevard County,682,62.2,87417,,,12,009,061202
Block Group 3,Census Tract 612.02,Brevard County,1317,49.5,67656,,,12,009,061202
Block Group 1,Census Tract 621.06,Brevard County,828,57.3,53900,,,12,009,062106
Block Group 2,Census Tract 621.06,Brevard County,1505,35.4,60556,,,12,009,062106
Block Group 3,Census Tract 621.06,Brevard County,571,58.9,35560,,,12,009,062106
Block Group 1,Census Tract 621.08,Brevard County,696,58.5,76398,,,12,009,062108
Block Group 2,Census Tract 621.08,Brevard County,2266,49.4,59135,,,12,009,062108
Block Group 3,Census Tract 621.08,Brevard County,724,45.3,89355,,,12,009,062108
Block Group 4,Census Tract 621.08,Brevard County,1871,42.7,90667,,,12,009,062108
Block Group 5,Census Tract 621.08,Brevard County,1289,35.4,59271,,,12,009,062108
Block Group 6,Census Tract 621.08,Brevard County,744,52.6,-666666666,,,12,009,062108
Block Group 1,Census Tract 621.09,Brevard County,931,44.7,41912,,,12,009,062109
Block Group 2,Census Tract 621.09,Brevard County,1672,40.3,57461,,,12,009,062109
Block Group 3,Census Tract 621.09,Brevard County,1055,42.3,37755,,,12,009,062109
Block Group 4,Census Tract 621.09,Brevard County,787,34.5,-666666666,,,12,009,062109
Block Group 1,Census Tract 621.10,Brevard County,1029,40.3,95887,,,12,009,062110
Block Group 2,Census Tract 621.10,Brevard County,1568,33.5,66676,,,12,009,062110
Block Group 3,Census Tract 621.10,Brevard County,961,43.0,90913,,,12,009,062110
Block Group 1,Census Tract 621.11,Brevard County,1914,44.9,56117,,,12,009,062111
Block Group 2,Census Tract 621.11,Brevard County,1544,41.8,91439,,,12,009,062111
Block Group 1,Census Tract 621.12,Brevard County,1328,48.4,78333,,,12,009,062112
Block Group 1,Census Tract 621.13,Brevard County,981,32.5,83403,,,12,009,062113
Block Group 2,Census Tract 621.13,Brevard County,1541,59.8,93625,,,12,009,062113
Block Group 3,Census Tract 621.13,Brevard County,683,48.6,55300,,,12,009,062113
Block Group 4,Census Tract 621.13,Brevard County,2264,44.7,76667,,,12,009,062113
Block Group 5,Census Tract 621.13,Brevard County,756,50.5,43884,,,12,009,062113
Block Group 1,Census Tract 621.14,Brevard County,1631,52.0,38586,,,12,009,062114
Block Group 1,Census Tract 621.15,Brevard County,1342,59.8,112073,,,12,009,062115
Block Group 2,Census Tract 621.15,Brevard County,868,55.6,26182,,,12,009,062115
Block Group 1,Census Tract 623.01,Brevard County,1050,38.2,36500,,,12,009,062301
Block Group 2,Census Tract 623.01,Brevard County,1104,42.4,29733,,,12,009,062301
Block Group 3,Census Tract 623.01,Brevard County,1063,51.6,44929,,,12,009,062301
Block Group 1,Census Tract 623.02,Brevard County,1422,38.3,34661,,,12,009,062302
Block Group 2,Census Tract 623.02,Brevard County,2648,37.4,31762,,,12,009,062302
Block Group 1,Census Tract 624.01,Brevard County,1979,46.1,43693,,,12,009,062401
Block Group 1,Census Tract 624.02,Brevard County,982,38.4,31053,,,12,009,062402
Block Group 2,Census Tract 624.02,Brevard County,1420,51.9,90601,,,12,009,062402
Block Group 3,Census Tract 624.02,Brevard County,1836,42.7,29790,,,12,009,062402
Block Group 4,Census Tract 624.02,Brevard County,2056,14.5,26100,,,12,009,062402
Block Group 1,Census Tract 625,Brevard County,1258,39.3,33898,,,12,009,062500
Block Group 2,Census Tract 625,Brevard County,1386,61.0,49659,,,12,009,062500
Block Group 3,Census Tract 625,Brevard County,1264,35.0,30094,,,12,009,062500
Block Group 4,Census Tract 625,Brevard County,354,58.9,26013,,,12,009,062500
Block Group 1,Census Tract 626,Brevard County,904,25.7,-666666666,,,12,009,062600
Block Group 2,Census Tract 626,Brevard County,781,25.7,46250,,,12,009,062600
Block Group 3,Census Tract 626,Brevard County,1034,35.6,46620,,,12,009,062600
Block Group 1,Census Tract 628,Brevard County,599,59.7,41389,,,12,009,062800
Block Group 2,Census Tract 628,Brevard County,1437,58.4,100833,,,12,009,062800
Block Group 3,Census Tract 628,Brevard County,973,57.3,45879,,,12,009,062800
Block Group 4,Census Tract 628,Brevard County,782,52.8,62344,,,12,009,062800
Block Group 1,Census Tract 629,Brevard County,2940,44.4,58836,,,12,009,062900
Block Group 2,Census Tract 629,Brevard County,2017,40.4,81203,,,12,009,062900
Block Group 3,Census Tract 629,Brevard County,658,37.5,60809,,,12,009,062900
Block Group 1,Census Tract 630,Brevard County,2665,43.7,76761,,,12,009,063000
Block Group 2,Census Tract 630,Brevard County,1853,41.9,83393,,,12,009,063000
Block Group 1,Census Tract 631.02,Brevard County,1683,60.9,76220,,,12,009,063102
Block Group 2,Census Tract 631.02,Brevard County,1619,45.1,98750,,,12,009,063102
Block Group 3,Census Tract 631.02,Brevard County,2872,47.2,99303,,,12,009,063102
Block Group 4,Census Tract 631.02,Brevard County,1536,67.1,47772,,,12,009,063102
Block Group 1,Census Tract 631.04,Brevard County,2437,40.6,86250,,,12,009,063104
Block Group 2,Census Tract 631.04,Brevard County,1449,52.2,80278,,,12,009,063104
Block Group 1,Census Tract 631.05,Brevard County,2036,47.7,83304,,,12,009,063105
Block Group 2,Census Tract 631.05,Brevard County,1956,40.1,85062,,,12,009,063105
Block Group 3,Census Tract 631.05,Brevard County,806,30.7,49348,,,12,009,063105
Block Group 4,Census Tract 631.05,Brevard County,2398,51.8,89438,,,12,009,063105
Block Group 5,Census Tract 631.05,Brevard County,2119,35.9,90833,,,12,009,063105
Block Group 1,Census Tract 631.06,Brevard County,5495,31.6,95645,,,12,009,063106
Block Group 1,Census Tract 631.08,Brevard County,4322,45.9,111883,,,12,009,063108
Block Group 2,Census Tract 631.08,Brevard County,1309,74.6,70917,,,12,009,063108
Block Group 1,Census Tract 631.09,Brevard County,2752,35.1,116781,,,12,009,063109
Block Group 2,Census Tract 631.09,Brevard County,1026,56.8,44219,,,12,009,063109
Block Group 3,Census Tract 631.09,Brevard County,1691,65.7,58736,,,12,009,063109
Block Group 1,Census Tract 641.02,Brevard County,2502,51.9,130788,,,12,009,064102
Block Group 2,Census Tract 641.02,Brevard County,3165,44.5,88558,,,12,009,064102
Block Group 1,Census Tract 641.23,Brevard County,3775,30.8,63035,,,12,009,064123
Block Group 2,Census Tract 641.23,Brevard County,899,34.3,75170,,,12,009,064123
Block Group 3,Census Tract 641.23,Brevard County,1837,42.9,68828,,,12,009,064123
Block Group 1,Census Tract 641.24,Brevard County,2232,30.9,59063,,,12,009,064124
Block Group 2,Census Tract 641.24,Brevard County,1055,33.7,34514,,,12,009,064124
Block Group 3,Census Tract 641.24,Brevard County,1569,55.7,85000,,,12,009,064124
Block Group 1,Census Tract 641.26,Brevard County,1662,54.9,111635,,,12,009,064126
Block Group 2,Census Tract 641.26,Brevard County,2402,50.0,57795,,,12,009,064126
Block Group 1,Census Tract 641.27,Brevard County,2923,52.4,96328,,,12,009,064127
Block Group 2,Census Tract 641.27,Brevard County,2118,31.9,74132,,,12,009,064127
Block Group 3,Census Tract 641.27,Brevard County,465,70.3,35562,,,12,009,064127
Block Group 4,Census Tract 641.27,Brevard County,3471,50.5,149730,,,12,009,064127
Block Group 1,Census Tract 641.28,Brevard County,7299,49.8,113646,,,12,009,064128
Block Group 2,Census Tract 641.28,Brevard County,1850,55.1,71910,,,12,009,064128
Block Group 3,Census Tract 641.28,Brevard County,2160,58.0,85489,,,12,009,064128
Block Group 1,Census Tract 641.29,Brevard County,870,64.4,84135,,,12,009,064129
Block Group 2,Census Tract 641.29,Brevard County,1711,50.7,93368,,,12,009,064129
Block Group 1,Census Tract 641.30,Brevard County,1080,41.1,46544,,,12,009,064130
Block Group 2,Census Tract 641.30,Brevard County,1511,49.1,89702,,,12,009,064130
Block Group 3,Census Tract 641.30,Brevard County,1508,43.8,90764,,,12,009,064130
Block Group 1,Census Tract 642.01,Brevard County,1428,47.5,63531,,,12,009,064201
Block Group 2,Census Tract 642.01,Brevard County,831,40.6,43365,,,12,009,064201
Block Group 1,Census Tract 642.02,Brevard County,562,49.9,41680,,,12,009,064202
Block Group 2,Census Tract 642.02,Brevard County,955,51.9,24787,,,12,009,064202
Block Group 3,Census Tract 642.02,Brevard County,1465,40.4,33537,,,12,009,064202
Block Group 1,Census Tract 643.01,Brevard County,1968,45.9,56920,,,12,009,064301
Block Group 2,Census Tract 643.01,Brevard County,2167,39.9,59444,,,12,009,064301
Block Group 3,Census Tract 643.01,Brevard County,1031,53.5,38561,,,12,009,064301
Block Group 1,Census Tract 643.02,Brevard County,2897,39.6,66972,,,12,009,064302
Block Group 2,Census Tract 643.02,Brevard County,1302,32.6,37092,,,12,009,064302
Block Group 3,Census Tract 643.02,Brevard County,2240,35.2,61417,,,12,009,064302
Block Group 1,Census Tract 644,Brevard County,1754,49.8,44508,,,12,009,064400
Block Group 2,Census Tract 644,Brevard County,2514,33.9,74493,,,12,009,064400
Block Group 3,Census Tract 644,Brevard County,1306,35.8,89107,,,12,009,064400
Block Group 1,Census Tract 645,Brevard County,2031,45.8,60282,,,12,009,064500
Block Group 2,Census Tract 645,Brevard County,2213,40.1,39421,,,12,009,064500
Block Group 1,Census Tract 646.01,Brevard County,2827,43.7,71021,,,12,009,064601
Block Group 2,Census Tract 646.01,Brevard County,3258,48.0,77348,,,12,009,064601
Block Group 3,Census Tract 646.01,Brevard County,985,50.1,78309,,,12,009,064601
Block Group 4,Census Tract 646.01,Brevard County,1416,58.7,65104,,,12,009,064601
Block Group 1,Census Tract 646.02,Brevard County,844,69.2,31968,,,12,009,064602
Block Group 2,Census Tract 646.02,Brevard County,1266,42.2,75625,,,12,009,064602
Block Group 1,Census Tract 647.01,Brevard County,1099,36.4,32835,,,12,009,064701
Block Group 2,Census Tract 647.01,Brevard County,775,53.6,45962,,,12,009,064701
Block Group 3,Census Tract 647.01,Brevard County,899,47.4,28191,,,12,009,064701
Block Group 1,Census Tract 647.02,Brevard County,556,68.4,44398,,,12,009,064702
Block Group 2,Census Tract 647.02,Brevard County,990,54.4,81750,,,12,009,064702
Block Group 3,Census Tract 647.02,Brevard County,81,-666666666.0,-666666666,,,12,009,064702
Block Group 1,Census Tract 648,Brevard County,1153,56.1,19486,,,12,009,064800
Block Group 2,Census Tract 648,Brevard County,1067,46.1,52245,,,12,009,064800
Block Group 3,Census Tract 648,Brevard County,1127,26.4,41500,,,12,009,064800
Block Group 1,Census Tract 649.01,Brevard County,862,23.8,53646,,,12,009,064901
Block Group 2,Census Tract 649.01,Brevard County,1423,22.5,86167,,,12,009,064901
Block Group 3,Census Tract 649.01,Brevard County,2234,32.8,61442,,,12,009,064901
Block Group 4,Census Tract 649.01,Brevard County,1906,44.0,47476,,,12,009,064901
Block Group 1,Census Tract 649.02,Brevard County,360,51.9,33750,,,12,009,064902
Block Group 2,Census Tract 649.02,Brevard County,853,53.4,36635,,,12,009,064902
Block Group 3,Census Tract 649.02,Brevard County,636,68.8,18875,,,12,009,064902
